datetime,open,high,low,close,volume
2026-01-05 09:00:00.000000000,2738,2748,2735,2747,91310
2026-01-05 09:05:00.000000000,2747,2751,2745,2747,41077
2026-01-05 09:10:00.000000000,2747,2750,2744,2746,27458
2026-01-05 09:15:00.000000000,2746,2749,2743,2745,27584
2026-01-05 09:20:00.000000000,2745,2747,2743,2744,19867
2026-01-05 09:25:00.000000000,2744,2746,2742,2742,15865
2026-01-05 09:30:00.000000000,2742,2744,2740,2740,15372
2026-01-05 09:35:00.000000000,2740,2743,2740,2743,12150
2026-01-05 09:40:00.000000000,2743,2749,2742,2747,21969
2026-01-05 09:45:00.000000000,2747,2747,2739,2741,20759
2026-01-05 09:50:00.000000000,2741,2746,2740,2746,12596
2026-01-05 09:55:00.000000000,2746,2746,2743,2744,7659
2026-01-05 10:00:00.000000000,2744,2746,2744,2744,9787
2026-01-05 10:05:00.000000000,2744,2745,2742,2743,5963
2026-01-05 10:10:00.000000000,2743,2744,2740,2743,9739
2026-01-05 10:30:00.000000000,2743,2747,2740,2741,15748
2026-01-05 10:35:00.000000000,2741,2745,2741,2745,8859
2026-01-05 10:40:00.000000000,2745,2745,2742,2744,8088
2026-01-05 10:45:00.000000000,2744,2745,2742,2745,6389
2026-01-05 10:50:00.000000000,2745,2745,2743,2745,5172
2026-01-05 10:55:00.000000000,2745,2746,2744,2745,4882
2026-01-05 11:00:00.000000000,2745,2747,2744,2746,7075
2026-01-05 11:05:00.000000000,2746,2747,2744,2746,10655
2026-01-05 11:10:00.000000000,2746,2749,2745,2746,12529
2026-01-05 11:15:00.000000000,2746,2748,2744,2747,9948
2026-01-05 11:20:00.000000000,2747,2749,2746,2748,5737
2026-01-05 11:25:00.000000000,2748,2752,2748,2750,19449
2026-01-05 13:30:00.000000000,2751,2753,2748,2750,22936
2026-01-05 13:35:00.000000000,2750,2753,2749,2751,13124
2026-01-05 13:40:00.000000000,2751,2751,2748,2749,8658
2026-01-05 13:45:00.000000000,2749,2749,2746,2748,14384
2026-01-05 13:50:00.000000000,2748,2749,2746,2748,8057
2026-01-05 13:55:00.000000000,2748,2749,2746,2749,8616
2026-01-05 14:00:00.000000000,2749,2749,2747,2749,5114
2026-01-05 14:05:00.000000000,2749,2751,2748,2750,9029
2026-01-05 14:10:00.000000000,2750,2751,2748,2750,7282
2026-01-05 14:15:00.000000000,2750,2753,2750,2753,10523
2026-01-05 14:20:00.000000000,2753,2754,2751,2752,8877
2026-01-05 14:25:00.000000000,2752,2753,2751,2752,7781
2026-01-05 14:30:00.000000000,2752,2753,2751,2752,4943
2026-01-05 14:35:00.000000000,2752,2753,2751,2753,3484
2026-01-05 14:40:00.000000000,2753,2756,2752,2756,18720
2026-01-05 14:45:00.000000000,2756,2757,2754,2756,23677
